Hardness,Solids_TDS,Sulphate,Chloramine,Conductivity,Organic_Carbon,Trihalomethane,Turbidity,pH_min,pH_max,Portability
218.1383683,1513.99696,255.2578273,2.989120412,1316.683893,11.12332805,6.39916535,4.090822262,7.05,7.45,0
199.8104433,532.1215921,183.7169814,0.948177752,893.4204525,13.21652813,124.275693,0.726348812,8.2,8.6,1
129.2692606,823.9514499,385.7994099,1.26359225,534.5587328,6.947698131,37.39613734,4.732318977,7.76,8.16,1
323.2700015,1393.905146,87.59138039,1.806711282,1183.970144,4.337680975,42.59060465,4.216120576,7.5,7.9,0
264.4808722,1067.76082,235.1425664,2.036533344,802.4137628,4.782698615,33.93679175,4.594266491,6.61,7.01,0
439.5654465,1529.42787,280.084006,2.422618092,1013.55298,10.45422388,126.0125933,1.428222035,6.61,7.01,0
64.44931122,1930.174222,330.2257957,2.55460029,428.7183482,8.51337051,146.8352993,1.677849696,6.42,6.82,0
339.7405674,409.7840379,162.7884122,4.557163455,1057.900787,7.297411965,113.2779976,2.349627173,8.03,8.43,0
393.3269953,1477.22189,274.7687631,5.095731908,748.2605867,3.041611182,123.5366791,1.121003333,7.5,7.9,0
391.7689561,614.6194801,121.2805886,3.088792081,701.0276997,13.13183531,93.07506908,2.327112945,7.72,8.12,0
448.7332852,946.0581093,174.1904369,9.072964199,1475.898695,11.71530671,79.31623626,0.046008428,6.34,6.74,0
378.0651843,259.1529064,358.2508525,5.531397233,818.9167713,2.109579026,108.2367007,4.387682855,8.24,8.64,0
467.5145277,444.6332881,379.9630437,7.87476928,1113.646054,5.510826819,5.364431821,0.811470201,7.96,8.36,0
199.6954699,775.5991203,287.5269388,9.242378324,1053.273043,8.131981405,9.210078841,2.504239145,6.72,7.12,1
276.4442375,815.5744495,149.7407563,1.631351146,425.1642611,6.815079342,103.0910233,4.644132464,6.66,7.06,1
56.33584848,1819.25339,328.023116,4.278744837,1197.513044,5.966937581,50.26049469,4.104912713,6.67,7.07,0
53.13091429,1535.263237,10.34683269,4.332104017,687.7910441,10.78247846,73.32515347,3.88062289,6.91,7.31,0
158.0569792,1949.929343,41.09836422,3.544722504,1258.727459,0.817552564,117.2988845,3.027228197,7.35,7.75,0
95.36323871,1278.328719,264.5494946,0.089058666,1029.168939,7.071155087,86.57368626,2.181367429,7.16,7.56,0
167.0951156,635.0847178,116.4994301,8.159721078,680.5097879,3.932725356,120.7892812,2.230186855,6.88,7.28,1
129.6694825,789.7790539,380.5544874,1.115593216,727.5515524,1.269275779,62.87328633,0.434828015,7.52,7.92,1
62.83401118,775.7046619,174.4242448,9.954805979,1177.808844,6.97330737,43.11350295,0.323929776,6.58,6.98,1
459.1868659,787.6897898,171.7459282,7.729584919,960.0711781,2.570530366,35.22553633,4.217192595,6.88,7.28,0
53.70040913,1411.335512,271.2318041,5.800100176,1102.021249,3.873364228,19.75214266,2.043260438,7.03,7.43,0
381.236965,1155.454271,307.0274249,1.546064177,489.9819853,7.605130943,5.519478341,0.270080232,7.21,7.61,0
118.4665491,893.7635206,190.2234953,5.153929714,1244.372007,14.6056347,7.972352353,3.315271371,7.87,8.27,1
460.5033299,468.3615837,85.60036068,2.611087409,684.4695827,10.2638251,40.64982407,3.416512002,6.7,7.1,0
451.7581728,239.8504933,309.3234571,2.523225245,1043.833521,4.194326972,41.76188915,1.137201791,7.33,7.73,0
344.2555159,593.9024197,128.1405099,8.295292494,437.6157903,5.736090789,57.26767935,2.053597949,7.48,7.88,0
352.5053674,393.4485271,70.04430772,3.80644424,685.7042894,6.091997285,88.74260569,2.867120343,6.39,6.79,0
